pred_question_type,pred_complexity,pred_route,pred_unanswerable_risk,depth_k
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
deadline,moderate,deadline_lookup,0,10
complex_legal,complex,complex_lookup,0,15
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
definition,simple,definition_lookup,0,5
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
complex_legal,complex,complex_lookup,0,15
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
deadline,moderate,deadline_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
deadline,moderate,deadline_lookup,0,10
definition,simple,definition_lookup,0,5
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
unanswerable_risk,complex,unanswerable_risk,1,15
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
deadline,moderate,deadline_lookup,0,10
complex_legal,complex,complex_lookup,0,15
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
complex_legal,complex,complex_lookup,0,15
complex_legal,complex,complex_lookup,0,15
deadline,moderate,deadline_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
deadline,moderate,deadline_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
complex_legal,complex,complex_lookup,0,15
complex_legal,complex,complex_lookup,0,15
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
deadline,moderate,deadline_lookup,0,10
unanswerable_risk,complex,unanswerable_risk,1,15
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
complex_legal,complex,complex_lookup,0,15
complex_legal,complex,complex_lookup,0,15
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
complex_legal,complex,complex_lookup,0,15
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
complex_legal,complex,complex_lookup,0,15
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
complex_legal,complex,complex_lookup,0,15
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
definition,simple,definition_lookup,0,5
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
deadline,moderate,deadline_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
complex_legal,complex,complex_lookup,0,15
moderate_lookup,moderate,moderate_lookup,0,10
moderate_lookup,moderate,moderate_lookup,0,10
